,State,2004-05,2005-06,2006-07,  2007-08 ,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
11,Idaho,4524.84959873284,4790.179058341862,4873.936235872236,5020.556063370139,5003.874488552672,5414.711071692261,5834.68641490567,6002.2132771487495,6238.646230532859,6462.25794963741,6609.709179090757,6818.470343746806
12,Illinois,8182.782872228087,8444.492098259978,9449.994751842753,10424.929169467114,10872.468831263297,11536.459733179787,12007.631385572287,12285.417179380493,12675.212445003142,12852.833102663104,12812.552601922614,13189.100826230002
13,Indiana,7367.528711721224,7517.478863868986,7687.356117936118,7876.8422947671625,7835.642141441326,8470.044355494054,8744.366807179455,8813.175883712076,9078.277157971925,9118.778417870133,9048.660744365508,9119.648545884287
14,Iowa,6813.105480464625,6862.829201637665,6919.20687960688,7124.102602016323,6979.602034878434,7438.301414899397,7832.4918008724335,7988.162055930808,8157.428390599902,8007.1942935708275,7868.433512232146,7877.344019168941
15,Kansas,5345.143970432946,5739.176796315251,6113.52973955774,6583.3215746519445,6520.6603807895835,6995.017659541864,7254.496598795474,7309.981675091402,7583.4604371813675,7896.354244079521,8270.389996147695,8530.493830784435
16,Kentucky,5639.996325237592,6142.22602865916,6759.713297297298,7193.991675468074,7387.550171846301,7886.018007810505,8230.958190183064,8423.380618089428,8814.731074097353,8888.902468594617,9223.341423101563,9566.67257334121
17,Louisiana,4453.0265892291445,4512.930040941657,4421.255921375921,4388.117234757561,4419.076494335436,4745.352601102387,5181.157748920926,5541.642177388656,6119.894240170403,6748.433250658339,7336.703233068446,7870.959722650475
18,Maine,7057.555723336853,7407.55634595701,7758.893680589681,8402.72892942871,8764.375134112854,9468.541014436896,9791.983110943944,9893.827798974866,9753.288471611146,9594.341144540145,9560.244160397668,9572.968444568556
19,Maryland,8530.557444561773,8716.85567041965,8462.541837837838,8379.814479116658,8020.086777836373,8284.973387632284,8469.600148616355,8409.647993555296,8552.226674348767,8663.28803314366,8696.80703172124,9163.29158226419
20,Massachusetts,8863.211383315733,8958.685209825997,8892.939960687962,9036.31348055689,8939.055054463457,10238.74653937061,10386.398631261725,10737.85602995724,11092.894257629723,10980.5582049996,10986.923867266387,11588.125344457978
21,Michigan,7930.772312565997,8668.00121801433,8998.487184275184,9737.495660105616,9905.761942863377,10817.23184011219,11094.661691382546,11451.952505732066,11659.570422166353,11851.172109111456,11618.211729368812,11990.52822403027
22,Minnesota,8143.721235480463,8481.13293756397,8816.71141031941,8934.344176668266,9023.682593515301,9738.944105204992,10275.835155106852,10582.571737148219,10792.889229345625,10690.90604386084,10582.08972204847,10831.360471619942
23,Mississippi,5028.870718057022,5110.1757215967245,5218.723832923833,5450.202006721075,5367.338919095851,5487.8528913262535,5795.277651127695,5992.706075548197,6415.732531950555,6707.111424287481,6870.364318457524,7147.2712342461355
24,Missouri,7477.1533051742335,7659.156775844421,7653.346457002457,7842.470619299088,7842.151952137622,7995.730737261494,7959.475595268129,8118.093811138357,8276.180380962358,8268.235851641295,8409.01544957015,8564.109743438288
25,Montana,5629.9159028511085,6006.6549232343905,6166.303351351351,6074.620777724436,5789.391645905693,6078.528495340166,6143.388397833137,6212.4280680942975,6411.56579544661,6360.14598593575,6301.408097643047,6351.076487252125
26,Nebraska,5947.449208025342,6475.6576663254855,6132.29369041769,6394.2773595775325,6462.072084522922,6908.577327247146,7224.940025961992,7295.192694823876,7483.458761086668,7473.389998116405,7347.860887453214,7607.9658656882075
27,Nevada,3621.3917423442444,3687.2897952917087,4274.662555282555,4523.3124915986555,4770.606271935407,5034.595251473177,5821.5501603130115,6383.55769690424,6656.361565053426,6525.296229387489,6437.625561908123,6667.235801581596
28,New Hampshire,10187.52687434002,10484.16548618219,10703.661218673218,11111.21695631301,11167.580249495371,12273.418976461684,13077.141446991207,14262.915112295392,15224.21350129199,14968.851123695791,14755.91044625638,15159.895264116578
29,New Jersey,10053.961277719112,10504.92862845445,10942.901592137592,11427.436370619298,11661.240893964467,12337.695120988526,12752.019145822918,12707.959472738377,12934.591792373769,12998.211640987676,13027.171713170668,13303.419490336193
30,New Mexico,4925.546388595564,5187.121484135107,4756.661542997543,4867.029246279405,4904.057391209471,5303.890132852878,5613.559462595924,5741.293411000256,5914.682467351072,6089.422280758763,6165.582903500137,6354.521438963855
31,New York,6234.741246040126,6114.134718526099,5911.817267813268,5815.687489198272,5556.123429288428,6361.121889380593,6341.526904605731,6553.630969980789,6835.531234723095,7076.293107639684,7305.822053253363,7643.525099747241
32,North Carolina,4493.348278775079,4464.075588536335,4769.56175921376,4933.481152184349,4764.096461239112,5030.162413919601,5827.023599726619,6009.607767282513,6459.483265241986,6657.225808356349,6684.522509947718,6973.066091916937
33,North Dakota,5803.803189017951,6197.187287615147,6464.181071253071,6648.627758041286,6625.902320379698,7020.506475474923,7191.004701597626,7247.656686821115,7298.038986661079,7431.147839039948,7526.6144295783415,7687.698216924241
34,Ohio,10377.934353284025,10186.406343171831,9903.031117442542,9695.103927028324,9194.022640068373,9425.320848289537,9913.49346592603,9980.448969113233,10175.170542635658,10156.820922400071,10103.81357775421,10195.895607219012
35,Oklahoma,4454.286642027455,4638.730255885363,5197.614388206388,5720.592520403265,6120.307022967394,6007.603094482961,6294.455325648706,6413.135657439292,6669.903458691249,6725.540171920751,7093.6355597583215,7449.698064176078
36,Oregon,6578.73565997888,6631.991914022517,6539.236874692875,6812.466077772444,6769.118155698205,7653.2940362478,8137.909720151735,8444.507732757322,8658.478455199385,8786.486343366547,8949.344584582544,9371.346119665925
37,Pennsylvania,10394.175533262935,10556.22580348004,10614.532452088451,11218.914872779644,11232.67835645833,11928.765856671203,12403.908399117476,12766.059038075087,12892.92442733431,13079.19873627973,13157.057396496297,13394.777550376328
38,Rhode Island,7475.893252375923,7864.345475946775,7959.433405405405,8273.262285165627,8383.551208379553,9423.10442951275,10201.396379081789,10578.34631421464,11376.232339898037,11131.51559088946,10977.287113668464,11390.118397085611
39,South Carolina,8330.20904963041,9019.75327533265,9279.946447174447,9590.843178108496,9907.931879762142,10550.153377509276,11015.844163826596,10939.61997503563,11191.854249598435,11407.37371524242,11469.805565788885,11816.025925316488
40,South Dakota,5478.709567053854,5609.712497441145,5827.379488943489,6121.595400864138,6182.150224582204,6683.610821403198,6916.238043034526,7175.824496950274,7695.962322787904,7809.311143180273,7713.289486051242,8054.912800263244
41,Tennessee,5425.787349524815,5817.343920163766,5832.070476658477,6146.8012962073935,6169.130603189612,6757.860850425584,7139.554371109714,7574.07060844008,7995.967351072002,8210.001643863765,8940.602952765204,9263.479110787835
42,Texas,6394.767951425553,6577.030655066529,7018.890368550368,7389.910225636102,7506.8967012783905,8120.958398149997,8477.262963795405,8506.832721027611,8691.812347230953,8705.02033153768,8852.042784493227,9116.732642680614
43,Utah,4125.412861668427,4376.137574206755,4475.20228009828,4650.487690830533,4638.240121110727,5067.841533124992,5381.485631458963,5598.6853869919705,5845.931315035966,6041.942032802137,6171.257824862634,6362.682377404262
44,Vermont,11067.043727560716,11295.14939611054,11472.983203931204,12012.900576092175,12304.627184448364,13316.24401094028,13655.136649068167,13832.978328803745,14088.777803966757,14266.88991702877,14501.02215526501,14993.026532856751
45,Virginia,7029.834561774022,7356.259170931422,7688.528864864865,8029.2233893422945,8225.145814769689,8794.749706293447,9643.105558893818,10072.351917918573,10313.714531391857,10590.452593366324,11202.400339438245,11818.692852673435
46,Washington,6191.89945089757,6414.589600818833,6649.475085995086,6858.294978396543,6979.602034878434,8113.20093243124,8973.15657466825,10029.041332849389,11036.643314826455,11045.088075138272,10703.37150223617,10288.352635518957
47,West Virginia,4575.2517106652585,4727.889631525076,4885.663705159705,5048.053403744599,5106.946491244022,5518.882754201281,5720.838875102632,5847.985340073122,6130.311081430267,6388.324627540378,6697.95528203736,7171.450966340447
48,Wisconsin,6574.955501583949,6871.378730808597,7085.736943488943,7347.518492558809,7373.445582004328,7944.753105395378,8441.138263665594,8658.947946636448,9052.235054822264,8930.733966615546,8785.102914348789,8815.260667850567
49,Wyoming,4086.351224920802,4188.047932446264,4122.205454545455,4071.8978204512723,3928.6707552144894,4129.188181155417,4298.839315447386,4357.467400253185,4456.32469097004,4499.358790390246,4653.877969772742,4890.999758220503
